"title"	"description"	"source_uri"	"unique_id"	"date_depicted"	"map_type"	"issue_year"	"tag_list"	"subject_area"	"publisher"	"publication_place"	"authors"	"scale"	"metadata_projection"	"metadata_lat"	"metadata_lon"	"upload_url"	import string	macrepo number
title	general_note	[DO NOT EDIT] DA url - created from macrepo automatically	identifier	year part of date_in	one of "is_map", "index", "not_map"	year part of date_in	minimum of ("aerial photo"; "topo map") add additional tag (with comma) that relates to series	subj_topic	publisher_name	publisher_location	personal_name or corporate_name	scale	string	latitude	longitude	DO NOT EDIT - URL to TIFF generated from macrepo number automatically. 	DO NOT EDIT - generated automatically from other fields	Generated automatically from Lookup (DO NOT EDIT) tab based on Identifier
[Hamilton-Wentworth County, 1952-05-01] : [Photo 12L]	Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71756	AirPhotos_Hamilton_1952-12L	1952	is_map	1952	aerial photo,AirPhotos_Hamilton_1952	Hamilton (Ont.)	[Spartan Air Services, Ltd.]	[Ottawa, Ont.]	Spartan Air Services, Ltd.	[1:4,800 approximately]		43.189158	-80.140629	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71756/datastream/OBJ/macrepo%3A71756.tiff	{"data":{"type":"maps","attributes":{"title":"[Hamilton-Wentworth County, 1952-05-01] : [Photo 12L]","description":"Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71756","unique_id":"AirPhotos_Hamilton_1952-12L","date_depicted":"1952","map_type":"is_map","issue_year":"1952","tag_list":"aerial photo,AirPhotos_Hamilton_1952","subject_area":"Hamilton (Ont.)","publisher":"[Spartan Air Services, Ltd.]","publication_place":"[Ottawa, Ont.]","authors":"Spartan Air Services, Ltd.","scale":"[1:4,800 approximately]","metadata_projection":"","metadata_lat":"43.189158","metadata_lon":"-80.140629","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71756/datastream/OBJ/macrepo%3A71756.tiff"}}}	71756
[Hamilton-Wentworth County, 1952-05-01] : [Photo 13L]	Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71766	AirPhotos_Hamilton_1952-13L	1952	is_map	1952	aerial photo,AirPhotos_Hamilton_1952	Hamilton (Ont.)	[Spartan Air Services, Ltd.]	[Ottawa, Ont.]	Spartan Air Services, Ltd.	[1:4,800 approximately]		43.19669	-80.119401	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71766/datastream/OBJ/macrepo%3A71766.tiff	{"data":{"type":"maps","attributes":{"title":"[Hamilton-Wentworth County, 1952-05-01] : [Photo 13L]","description":"Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71766","unique_id":"AirPhotos_Hamilton_1952-13L","date_depicted":"1952","map_type":"is_map","issue_year":"1952","tag_list":"aerial photo,AirPhotos_Hamilton_1952","subject_area":"Hamilton (Ont.)","publisher":"[Spartan Air Services, Ltd.]","publication_place":"[Ottawa, Ont.]","authors":"Spartan Air Services, Ltd.","scale":"[1:4,800 approximately]","metadata_projection":"","metadata_lat":"43.19669","metadata_lon":"-80.119401","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71766/datastream/OBJ/macrepo%3A71766.tiff"}}}	71766
[Hamilton-Wentworth County, 1952-05-01] : [Photo 13M]	Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71768	AirPhotos_Hamilton_1952-13M	1952	is_map	1952	aerial photo,AirPhotos_Hamilton_1952	Hamilton (Ont.)	[Spartan Air Services, Ltd.]	[Ottawa, Ont.]	Spartan Air Services, Ltd.	[1:4,800 approximately]		43.179731	-80.10099	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71768/datastream/OBJ/macrepo%3A71768.tiff	{"data":{"type":"maps","attributes":{"title":"[Hamilton-Wentworth County, 1952-05-01] : [Photo 13M]","description":"Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71768","unique_id":"AirPhotos_Hamilton_1952-13M","date_depicted":"1952","map_type":"is_map","issue_year":"1952","tag_list":"aerial photo,AirPhotos_Hamilton_1952","subject_area":"Hamilton (Ont.)","publisher":"[Spartan Air Services, Ltd.]","publication_place":"[Ottawa, Ont.]","authors":"Spartan Air Services, Ltd.","scale":"[1:4,800 approximately]","metadata_projection":"","metadata_lat":"43.179731","metadata_lon":"-80.10099","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71768/datastream/OBJ/macrepo%3A71768.tiff"}}}	71768
[Hamilton-Wentworth County, 1952-05-01] : [Photo 14L]	Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71781	AirPhotos_Hamilton_1952-14L	1952	is_map	1952	aerial photo,AirPhotos_Hamilton_1952	Hamilton (Ont.)	[Spartan Air Services, Ltd.]	[Ottawa, Ont.]	Spartan Air Services, Ltd.	[1:4,800 approximately]		43.203886	-80.077773	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71781/datastream/OBJ/macrepo%3A71781.tiff	{"data":{"type":"maps","attributes":{"title":"[Hamilton-Wentworth County, 1952-05-01] : [Photo 14L]","description":"Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71781","unique_id":"AirPhotos_Hamilton_1952-14L","date_depicted":"1952","map_type":"is_map","issue_year":"1952","tag_list":"aerial photo,AirPhotos_Hamilton_1952","subject_area":"Hamilton (Ont.)","publisher":"[Spartan Air Services, Ltd.]","publication_place":"[Ottawa, Ont.]","authors":"Spartan Air Services, Ltd.","scale":"[1:4,800 approximately]","metadata_projection":"","metadata_lat":"43.203886","metadata_lon":"-80.077773","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71781/datastream/OBJ/macrepo%3A71781.tiff"}}}	71781
[Hamilton-Wentworth County, 1952-05-01] : [Photo 14M]	Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71769	AirPhotos_Hamilton_1952-14M	1952	is_map	1952	aerial photo,AirPhotos_Hamilton_1952	Hamilton (Ont.)	[Spartan Air Services, Ltd.]	[Ottawa, Ont.]	Spartan Air Services, Ltd.	[1:4,800 approximately]		43.180858	-80.069619	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71769/datastream/OBJ/macrepo%3A71769.tiff	{"data":{"type":"maps","attributes":{"title":"[Hamilton-Wentworth County, 1952-05-01] : [Photo 14M]","description":"Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71769","unique_id":"AirPhotos_Hamilton_1952-14M","date_depicted":"1952","map_type":"is_map","issue_year":"1952","tag_list":"aerial photo,AirPhotos_Hamilton_1952","subject_area":"Hamilton (Ont.)","publisher":"[Spartan Air Services, Ltd.]","publication_place":"[Ottawa, Ont.]","authors":"Spartan Air Services, Ltd.","scale":"[1:4,800 approximately]","metadata_projection":"","metadata_lat":"43.180858","metadata_lon":"-80.069619","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71769/datastream/OBJ/macrepo%3A71769.tiff"}}}	71769
[Hamilton-Wentworth County, 1952-05-01] : [Photo 15I]	Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71773	AirPhotos_Hamilton_1952-15I	1952	is_map	1952	aerial photo,AirPhotos_Hamilton_1952	Hamilton (Ont.)	[Spartan Air Services, Ltd.]	[Ottawa, Ont.]	Spartan Air Services, Ltd.	[1:4,800 approximately]		43.281009	-80.057303	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71773/datastream/OBJ/macrepo%3A71773.tiff	{"data":{"type":"maps","attributes":{"title":"[Hamilton-Wentworth County, 1952-05-01] : [Photo 15I]","description":"Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71773","unique_id":"AirPhotos_Hamilton_1952-15I","date_depicted":"1952","map_type":"is_map","issue_year":"1952","tag_list":"aerial photo,AirPhotos_Hamilton_1952","subject_area":"Hamilton (Ont.)","publisher":"[Spartan Air Services, Ltd.]","publication_place":"[Ottawa, Ont.]","authors":"Spartan Air Services, Ltd.","scale":"[1:4,800 approximately]","metadata_projection":"","metadata_lat":"43.281009","metadata_lon":"-80.057303","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71773/datastream/OBJ/macrepo%3A71773.tiff"}}}	71773
[Hamilton-Wentworth County, 1952-05-01] : [Photo 15J]	Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71779	AirPhotos_Hamilton_1952-15J	1952	is_map	1952	aerial photo,AirPhotos_Hamilton_1952	Hamilton (Ont.)	[Spartan Air Services, Ltd.]	[Ottawa, Ont.]	Spartan Air Services, Ltd.	[1:4,800 approximately]		43.256948	-80.047175	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71779/datastream/OBJ/macrepo%3A71779.tiff	{"data":{"type":"maps","attributes":{"title":"[Hamilton-Wentworth County, 1952-05-01] : [Photo 15J]","description":"Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71779","unique_id":"AirPhotos_Hamilton_1952-15J","date_depicted":"1952","map_type":"is_map","issue_year":"1952","tag_list":"aerial photo,AirPhotos_Hamilton_1952","subject_area":"Hamilton (Ont.)","publisher":"[Spartan Air Services, Ltd.]","publication_place":"[Ottawa, Ont.]","authors":"Spartan Air Services, Ltd.","scale":"[1:4,800 approximately]","metadata_projection":"","metadata_lat":"43.256948","metadata_lon":"-80.047175","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71779/datastream/OBJ/macrepo%3A71779.tiff"}}}	71779
[Hamilton-Wentworth County, 1952-05-01] : [Photo 15K]	Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71770	AirPhotos_Hamilton_1952-15K	1952	is_map	1952	aerial photo,AirPhotos_Hamilton_1952	Hamilton (Ont.)	[Spartan Air Services, Ltd.]	[Ottawa, Ont.]	Spartan Air Services, Ltd.	[1:4,800 approximately]		43.235201	-80.042065	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71770/datastream/OBJ/macrepo%3A71770.tiff	{"data":{"type":"maps","attributes":{"title":"[Hamilton-Wentworth County, 1952-05-01] : [Photo 15K]","description":"Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71770","unique_id":"AirPhotos_Hamilton_1952-15K","date_depicted":"1952","map_type":"is_map","issue_year":"1952","tag_list":"aerial photo,AirPhotos_Hamilton_1952","subject_area":"Hamilton (Ont.)","publisher":"[Spartan Air Services, Ltd.]","publication_place":"[Ottawa, Ont.]","authors":"Spartan Air Services, Ltd.","scale":"[1:4,800 approximately]","metadata_projection":"","metadata_lat":"43.235201","metadata_lon":"-80.042065","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71770/datastream/OBJ/macrepo%3A71770.tiff"}}}	71770
[Hamilton-Wentworth County, 1952-05-01] : [Photo 15L]	Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71772	AirPhotos_Hamilton_1952-15L	1952	is_map	1952	aerial photo,AirPhotos_Hamilton_1952	Hamilton (Ont.)	[Spartan Air Services, Ltd.]	[Ottawa, Ont.]	Spartan Air Services, Ltd.	[1:4,800 approximately]		43.210872	-80.037773	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71772/datastream/OBJ/macrepo%3A71772.tiff	{"data":{"type":"maps","attributes":{"title":"[Hamilton-Wentworth County, 1952-05-01] : [Photo 15L]","description":"Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71772","unique_id":"AirPhotos_Hamilton_1952-15L","date_depicted":"1952","map_type":"is_map","issue_year":"1952","tag_list":"aerial photo,AirPhotos_Hamilton_1952","subject_area":"Hamilton (Ont.)","publisher":"[Spartan Air Services, Ltd.]","publication_place":"[Ottawa, Ont.]","authors":"Spartan Air Services, Ltd.","scale":"[1:4,800 approximately]","metadata_projection":"","metadata_lat":"43.210872","metadata_lon":"-80.037773","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71772/datastream/OBJ/macrepo%3A71772.tiff"}}}	71772
