macrepo		dcterms:title	dcterms:creator	dcterms:subject	dcterms:description	dcterms:publisher	dcterms:date	dcterms:type	dcterms:format	dcterms:identifier	dcterms:language	dcterms:coverage	dcterms:rights	dcterms:format	dcterms:format	dcterms:identifier	dcterms:coverage																																																																																																																							dcterms:subject																									dcterms:contributor																				TIFF_URL	JP2000_URL	dcterms:relation
8719		Besançon	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	66 x 83 cm.	macrepo:8719	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Besançon																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8719/datastream/OBJ/macrepo%3A8719.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8719/datastream/JP2/macrepo%3A8719.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8719
8720		Luneville-Epinal	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	65 x 95 cm.	macrepo:8720	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Luneville, Epinal																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8720/datastream/OBJ/macrepo%3A8720.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8720/datastream/JP2/macrepo%3A8720.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8720
8721		Nice, Cannes	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	86 x 76 cm.	macrepo:8721	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Nice, Cannes																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8721/datastream/OBJ/macrepo%3A8721.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8721/datastream/JP2/macrepo%3A8721.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8721
8722		Châteaudin-Beaugency	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	65 x 80 cm.	macrepo:8722	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Châteaudin, Beaugency																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8722/datastream/OBJ/macrepo%3A8722.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8722/datastream/JP2/macrepo%3A8722.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8722
8723		Nantua	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	66 x 82 cm.	macrepo:8723	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Nantua																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8723/datastream/OBJ/macrepo%3A8723.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8723/datastream/JP2/macrepo%3A8723.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8723
8724		St. Gaudens	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	81 x 81 cm.	macrepo:8724	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Saint-Gaudens																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8724/datastream/OBJ/macrepo%3A8724.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8724/datastream/JP2/macrepo%3A8724.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8724
8725		Pithiviers-Orléans	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	65 x 80 cm.	macrepo:8725	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Pithiviers, Orléans																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8725/datastream/OBJ/macrepo%3A8725.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8725/datastream/JP2/macrepo%3A8725.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8725
8726		Cholet La Roche-sur-Yon	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	64 x 81 cm.	macrepo:8726	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Cholet, La Roche-sur-Yon																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8726/datastream/OBJ/macrepo%3A8726.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8726/datastream/JP2/macrepo%3A8726.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8726
8727		St. Affrique	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	64 x 81 cm.	macrepo:8727	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Saint-Affrique																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8727/datastream/OBJ/macrepo%3A8727.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8727/datastream/JP2/macrepo%3A8727.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8727
8728		St. Jean-de-Maurienne Modane	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	67 x 94 cm.	macrepo:8728	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Saint-Jean-de-Maurienne, Modane																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8728/datastream/OBJ/macrepo%3A8728.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8728/datastream/JP2/macrepo%3A8728.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8728
8729		Semur	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	65 x 87 cm.	macrepo:8729	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Semur																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8729/datastream/OBJ/macrepo%3A8729.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8729/datastream/JP2/macrepo%3A8729.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8729
8730		Agen	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	63 x 81 cm.	macrepo:8730	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Agen																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8730/datastream/OBJ/macrepo%3A8730.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8730/datastream/JP2/macrepo%3A8730.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8730
8731		Brioude	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	64 x 86 cm.	macrepo:8731	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Brioude																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8731/datastream/OBJ/macrepo%3A8731.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8731/datastream/JP2/macrepo%3A8731.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8731
8732		Noirmoutier-Palluau	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	65 x 89 cm.	macrepo:8732	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--NoirMoutier, Palluau																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8732/datastream/OBJ/macrepo%3A8732.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8732/datastream/JP2/macrepo%3A8732.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8732
8733		St Nazaire-Nantes	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	64 x 80 cm.	macrepo:8733	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Saint-Nazaire, Nantes																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8733/datastream/OBJ/macrepo%3A8733.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8733/datastream/JP2/macrepo%3A8733.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8733
8734		Chambéry	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	64 x 82 cm.	macrepo:8734	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Chambéry																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8734/datastream/OBJ/macrepo%3A8734.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8734/datastream/JP2/macrepo%3A8734.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8734
8735		Guéret	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	66 x 81 cm.	macrepo:8735	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Guéret																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8735/datastream/OBJ/macrepo%3A8735.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8735/datastream/JP2/macrepo%3A8735.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8735
8736		Nancy-Mirecourt	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	96 x 77 cm.	macrepo:8736	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Nancy, Mirecourt																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8736/datastream/OBJ/macrepo%3A8736.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8736/datastream/JP2/macrepo%3A8736.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8736
8737		Aix	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	63 x 81 cm.	macrepo:8737	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Aix																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8737/datastream/OBJ/macrepo%3A8737.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8737/datastream/JP2/macrepo%3A8737.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8737
8738		Mauleon Licharre, Urdos	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	64 x 79 cm.	macrepo:8738	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Mauléon-Licharre, Urdos																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8738/datastream/OBJ/macrepo%3A8738.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8738/datastream/JP2/macrepo%3A8738.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8738
8739		Montpellier	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	72 x 81 cm.	macrepo:8739	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Montpellier																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8739/datastream/OBJ/macrepo%3A8739.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8739/datastream/JP2/macrepo%3A8739.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8739
8740		Auch	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	63 x 81 cm.	macrepo:8740	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Auch																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8740/datastream/OBJ/macrepo%3A8740.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8740/datastream/JP2/macrepo%3A8740.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8740
8741		Annecy, Albertville	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	64 x 86 cm.	macrepo:8741	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Annecy, Albertville																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8741/datastream/OBJ/macrepo%3A8741.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8741/datastream/JP2/macrepo%3A8741.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8741
8742		Morlaix-Gourin	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	94 x 77 cm.	macrepo:8742	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Morlaix, Gourin																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8742/datastream/OBJ/macrepo%3A8742.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8742/datastream/JP2/macrepo%3A8742.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8742
