macrepo		dcterms:title	dcterms:creator	dcterms:subject	dcterms:description	dcterms:publisher	dcterms:date	dcterms:type	dcterms:format	dcterms:identifier	dcterms:language	dcterms:coverage	dcterms:rights	dcterms:format	dcterms:format	dcterms:identifier	dcterms:coverage																																																																																																																							dcterms:subject																									dcterms:contributor																				TIFF_URL	JP2000_URL	dcterms:relation
8743		Dijon	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	66 x 82 cm.	macrepo:8743	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Dijon																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8743/datastream/OBJ/macrepo%3A8743.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8743/datastream/JP2/macrepo%3A8743.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8743
8744		Toulouse	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	62 x 81 cm.	macrepo:8744	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Toulouse																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8744/datastream/OBJ/macrepo%3A8744.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8744/datastream/JP2/macrepo%3A8744.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8744
8745		St. Tropez-Toulon	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	63 x 78 cm.	macrepo:8745	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Saint-Tropez, Toulon																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8745/datastream/OBJ/macrepo%3A8745.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8745/datastream/JP2/macrepo%3A8745.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8745
8746		Draguignan-Brignoles	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	65 x 77 cm.	macrepo:8746	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Draguignan, Brignoles																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8746/datastream/OBJ/macrepo%3A8746.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8746/datastream/JP2/macrepo%3A8746.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8746
8747		Nîmes	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	72 x 80 cm.	macrepo:8747	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Nîmes																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8747/datastream/OBJ/macrepo%3A8747.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8747/datastream/JP2/macrepo%3A8747.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8747
8748		Lesparre-Blaye	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	66 x 79 cm.	macrepo:8748	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Lesparre, Blaye																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8748/datastream/OBJ/macrepo%3A8748.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8748/datastream/JP2/macrepo%3A8748.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8748
8749		Morteau, Pontarlier	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	64 x 80 cm.	macrepo:8749	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Morteau, Pontarlier																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8749/datastream/OBJ/macrepo%3A8749.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8749/datastream/JP2/macrepo%3A8749.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8749
8750		Mortagne Nogent-le-Rotrou	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	65 x 79 cm.	macrepo:8750	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Mortagne, Nogent- le-Rotrou																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8750/datastream/OBJ/macrepo%3A8750.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8750/datastream/JP2/macrepo%3A8750.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8750
8751		Mauriac	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	63 x 86 cm.	macrepo:8751	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Mauriac																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8751/datastream/OBJ/macrepo%3A8751.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8751/datastream/JP2/macrepo%3A8751.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8751
8752		Cherbourg-Valognes	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 2nd ed.	[London]: War Office	1943	Topographic maps	64 x 81 cm.	macrepo:8752	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Cherbourg, Valognes																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8752/datastream/OBJ/macrepo%3A8752.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8752/datastream/JP2/macrepo%3A8752.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8752
8753		Jersey-Iles Chausey	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 2nd ed.	[London]: War Office	1943	Topographic maps	70 x 80 cm.	macrepo:8753	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Jersey-Iles, Chausey																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8753/datastream/OBJ/macrepo%3A8753.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8753/datastream/JP2/macrepo%3A8753.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8753
8754		Narbonne	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	62 x 81 cm.	macrepo:8754	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Narbonne																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8754/datastream/OBJ/macrepo%3A8754.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8754/datastream/JP2/macrepo%3A8754.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8754
8755		Cosne	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	65 x 87 cm.	macrepo:8755	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Cosne																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8755/datastream/OBJ/macrepo%3A8755.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8755/datastream/JP2/macrepo%3A8755.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8755
8756		Nevers	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	66 x 83 cm.	macrepo:8756	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Nevers																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8756/datastream/OBJ/macrepo%3A8756.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8756/datastream/JP2/macrepo%3A8756.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8756
8757		Cande-Ancenis	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	64 x 82 cm.	macrepo:8757	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Candé, Ancenis																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8757/datastream/OBJ/macrepo%3A8757.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8757/datastream/JP2/macrepo%3A8757.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8757
8758		Les Sables d'Olonne Ile de Ré	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	67 x 50 cm.	macrepo:8758	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Les Sables-d'Olonne, Ile de Ré																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8758/datastream/OBJ/macrepo%3A8758.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8758/datastream/JP2/macrepo%3A8758.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8758
8759		Briançon-Gap	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	65 x 93 cm.	macrepo:8759	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Briançon, Gap																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8759/datastream/OBJ/macrepo%3A8759.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8759/datastream/JP2/macrepo%3A8759.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8759
8760		Rennes-Redon	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	64 x 81 cm.	macrepo:8760	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Rennes, Redon																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8760/datastream/OBJ/macrepo%3A8760.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8760/datastream/JP2/macrepo%3A8760.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8760
8761		Tulle	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	64 x 83 cm.	macrepo:8761	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Tulle																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8761/datastream/OBJ/macrepo%3A8761.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8761/datastream/JP2/macrepo%3A8761.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8761
8762		Castres	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	65 x 81 cm.	macrepo:8762	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Castres																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8762/datastream/OBJ/macrepo%3A8762.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8762/datastream/JP2/macrepo%3A8762.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8762
8763		Tours-Chinon	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	65 x 81 cm.	macrepo:8763	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Tours, Chinon																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8763/datastream/OBJ/macrepo%3A8763.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8763/datastream/JP2/macrepo%3A8763.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8763
8764		St. Malo-Dinan	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	66 x 78 cm.	macrepo:8764	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Saint Malo, Dinan																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8764/datastream/OBJ/macrepo%3A8764.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8764/datastream/JP2/macrepo%3A8764.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8764
8765		Confolens	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	65 x 82 cm.	macrepo:8765	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Confolens																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8765/datastream/OBJ/macrepo%3A8765.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8765/datastream/JP2/macrepo%3A8765.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8765
8766		Aubusson	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	63 x 82 cm.	macrepo:8766	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Aubusson																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8766/datastream/OBJ/macrepo%3A8766.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8766/datastream/JP2/macrepo%3A8766.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8766
8767		Vannes	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	65 x 86 cm.	macrepo:8767	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Vannes																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8767/datastream/OBJ/macrepo%3A8767.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8767/datastream/JP2/macrepo%3A8767.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8767
8768		Neufchatel-Rouen	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	63 x 86 cm.	macrepo:8768	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Neufchatel, Rouen																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8768/datastream/OBJ/macrepo%3A8768.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8768/datastream/JP2/macrepo%3A8768.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8768
8769		Sens-Auxerre	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	65 x 80 cm.	macrepo:8769	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Sens, Auxerre																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8769/datastream/OBJ/macrepo%3A8769.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8769/datastream/JP2/macrepo%3A8769.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8769
8770		Boucau-Bayonne	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	65 x 76 cm.	macrepo:8770	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Boucau, Bayonne																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8770/datastream/OBJ/macrepo%3A8770.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8770/datastream/JP2/macrepo%3A8770.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8770
8771		Gerardmer-Lure	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	66 x 104 cm.	macrepo:8771	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Gerardmer, Lure																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8771/datastream/OBJ/macrepo%3A8771.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8771/datastream/JP2/macrepo%3A8771.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8771
8772		St Lô-Vire	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 2nd ed.	[London]: War Office	1943	Topographic maps	65 x 85 cm.	macrepo:8772	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Saint Lô, Vire																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8772/datastream/OBJ/macrepo%3A8772.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8772/datastream/JP2/macrepo%3A8772.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8772
8773		Forcalquier	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	66 x 80 cm.	macrepo:8773	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Forcalquier																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8773/datastream/OBJ/macrepo%3A8773.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8773/datastream/JP2/macrepo%3A8773.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8773
8774		Dreux-Chartres	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	65 x 79 cm.	macrepo:8774	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Dreux, Chartres																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8774/datastream/OBJ/macrepo%3A8774.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8774/datastream/JP2/macrepo%3A8774.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8774
8775		Mâcon	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	65 x 82 cm.	macrepo:8775	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Mâcon																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8775/datastream/OBJ/macrepo%3A8775.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8775/datastream/JP2/macrepo%3A8775.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8775
8776		Châlons-sur-Marne-Troyes	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	91 x 77 cm.	macrepo:8776	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Châlons-sur-Marne, Troyes																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8776/datastream/OBJ/macrepo%3A8776.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8776/datastream/JP2/macrepo%3A8776.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8776
8777		Mezin	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	63 x 81 cm.	macrepo:8777	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Mezin																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8777/datastream/OBJ/macrepo%3A8777.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8777/datastream/JP2/macrepo%3A8777.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8777
8778		Digne-Castellane	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	65 x 95 cm.	macrepo:8778	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	nonprojected graphic	image/tif		Europe--France--Digne, Castellane																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8778/datastream/OBJ/macrepo%3A8778.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8778/datastream/JP2/macrepo%3A8778.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8778
8779		Thonon-les-Bains, Bonneville	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	63 x 82 cm.	macrepo:8779	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Thonon-les-Bains, Bonneville																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8779/datastream/OBJ/macrepo%3A8779.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8779/datastream/JP2/macrepo%3A8779.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8779
8780		Paris, Fontainbleu	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	89 x 78 cm.	macrepo:8780	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Paris, Fountainbleu																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8780/datastream/OBJ/macrepo%3A8780.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8780/datastream/JP2/macrepo%3A8780.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8780
8781		Ax-les-Thermes	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	64 x 83 cm.	macrepo:8781	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Ax-les-Thermes																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8781/datastream/OBJ/macrepo%3A8781.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8781/datastream/JP2/macrepo%3A8781.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8781
8782		Fontenay le Comte La Rochelle	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	63 x 81 cm.	macrepo:8782	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Fontenay-le-Comte, La Rochelle																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8782/datastream/OBJ/macrepo%3A8782.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8782/datastream/JP2/macrepo%3A8782.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8782
8783		Maubourguet	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	63 x 82 cm.	macrepo:8783	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Maubourguet																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8783/datastream/OBJ/macrepo%3A8783.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8783/datastream/JP2/macrepo%3A8783.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8783
8784		Montauban	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	63 x 82 cm.	macrepo:8784	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Montauban																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8784/datastream/OBJ/macrepo%3A8784.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8784/datastream/JP2/macrepo%3A8784.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8784
8785		Jonzac	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	64 x 86 cm.	macrepo:8785	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Jonzac																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8785/datastream/OBJ/macrepo%3A8785.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8785/datastream/JP2/macrepo%3A8785.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8785
8786		Tarbes	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	81 x 81 cm.	macrepo:8786	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Tarbes																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8786/datastream/OBJ/macrepo%3A8786.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8786/datastream/JP2/macrepo%3A8786.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8786
