"title"	"description"	"source_uri"	"unique_id"	"date_depicted"	"map_type"	"issue_year"	"tag_list"	"subject_area"	"publisher"	"publication_place"	"authors"	"scale"	"metadata_projection"	"metadata_lat"	"metadata_lon"	"upload_url"	import string	macrepo number
title	general_note	[DO NOT EDIT] DA url - created from macrepo automatically	identifier	year part of date_in	one of "is_map", "index", "not_map"	year part of date_in	minimum of ("aerial photo"; "topo map") add additional tag (with comma) that relates to series	subj_topic	publisher_name	publisher_location	personal_name or corporate_name	scale	string	latitude	longitude	DO NOT EDIT - URL to TIFF generated from macrepo number automatically. 	DO NOT EDIT - generated automatically from other fields	Generated automatically from Lookup (DO NOT EDIT) tab based on Identifier
Den Helder	GSGS (Series); 2541. 1st ed.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8859	macrepo:8859	1944	is_map	1944	topo map, WW2_Holland_100k		War Office	[London]	Ordnance Survey	1:100,000				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8859/datastream/OBJ/macrepo%3A8859.tiff	{"data":{"type":"maps","attributes":{"title":"Den Helder","description":"GSGS (Series); 2541. 1st ed.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8859","unique_id":"macrepo:8859","date_depicted":"1944","map_type":"is_map","issue_year":"1944","tag_list":"topo map, WW2_Holland_100k","subject_area":"","publisher":"War Office","publication_place":"[London]","authors":"Ordnance Survey","scale":"1:100,000","metadata_projection":"","metadata_lat":"","metadata_lon":"","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8859/datastream/OBJ/macrepo%3A8859.tiff"}}}	8859
Leeuwarden	GSGS (Series); 2541. 1st ed.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8858	macrepo:8858	1943	is_map	1943	topo map, WW2_Holland_100k		War Office	[London]	Ordnance Survey	1:100,000				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8858/datastream/OBJ/macrepo%3A8858.tiff	{"data":{"type":"maps","attributes":{"title":"Leeuwarden","description":"GSGS (Series); 2541. 1st ed.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8858","unique_id":"macrepo:8858","date_depicted":"1943","map_type":"is_map","issue_year":"1943","tag_list":"topo map, WW2_Holland_100k","subject_area":"","publisher":"War Office","publication_place":"[London]","authors":"Ordnance Survey","scale":"1:100,000","metadata_projection":"","metadata_lat":"","metadata_lon":"","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8858/datastream/OBJ/macrepo%3A8858.tiff"}}}	8858
Middelburg	GSGS (Series); 2541. 3rd ed.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8862	macrepo:8862	1943	is_map	1943	topo map, WW2_Holland_100k		War Office	[London]	Ordnance Survey	1:100,000				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8862/datastream/OBJ/macrepo%3A8862.tiff	{"data":{"type":"maps","attributes":{"title":"Middelburg","description":"GSGS (Series); 2541. 3rd ed.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8862","unique_id":"macrepo:8862","date_depicted":"1943","map_type":"is_map","issue_year":"1943","tag_list":"topo map, WW2_Holland_100k","subject_area":"","publisher":"War Office","publication_place":"[London]","authors":"Ordnance Survey","scale":"1:100,000","metadata_projection":"","metadata_lat":"","metadata_lon":"","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8862/datastream/OBJ/macrepo%3A8862.tiff"}}}	8862
Rotterdam	GSGS (Series); 2541. 3rd ed.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8863	macrepo:8863	1944	is_map	1944	topo map, WW2_Holland_100k		War Office	[London]	Ordnance Survey	1:100,000				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8863/datastream/OBJ/macrepo%3A8863.tiff	{"data":{"type":"maps","attributes":{"title":"Rotterdam","description":"GSGS (Series); 2541. 3rd ed.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8863","unique_id":"macrepo:8863","date_depicted":"1944","map_type":"is_map","issue_year":"1944","tag_list":"topo map, WW2_Holland_100k","subject_area":"","publisher":"War Office","publication_place":"[London]","authors":"Ordnance Survey","scale":"1:100,000","metadata_projection":"","metadata_lat":"","metadata_lon":"","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8863/datastream/OBJ/macrepo%3A8863.tiff"}}}	8863
Utrecht	GSGS (Series); 2541. 3rd ed.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8861	macrepo:8861	1943	is_map	1943	topo map, WW2_Holland_100k		War Office	[London]	Ordnance Survey	1:100,000				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8861/datastream/OBJ/macrepo%3A8861.tiff	{"data":{"type":"maps","attributes":{"title":"Utrecht","description":"GSGS (Series); 2541. 3rd ed.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8861","unique_id":"macrepo:8861","date_depicted":"1943","map_type":"is_map","issue_year":"1943","tag_list":"topo map, WW2_Holland_100k","subject_area":"","publisher":"War Office","publication_place":"[London]","authors":"Ordnance Survey","scale":"1:100,000","metadata_projection":"","metadata_lat":"","metadata_lon":"","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8861/datastream/OBJ/macrepo%3A8861.tiff"}}}	8861
s Hertogenbosch	GSGS (Series); 2541. 3rd ed.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8860	macrepo:8860	1943	is_map	1943	topo map, WW2_Holland_100k		War Office	[London]	Ordnance Survey	1:100,000				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8860/datastream/OBJ/macrepo%3A8860.tiff	{"data":{"type":"maps","attributes":{"title":"s Hertogenbosch","description":"GSGS (Series); 2541. 3rd ed.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8860","unique_id":"macrepo:8860","date_depicted":"1943","map_type":"is_map","issue_year":"1943","tag_list":"topo map, WW2_Holland_100k","subject_area":"","publisher":"War Office","publication_place":"[London]","authors":"Ordnance Survey","scale":"1:100,000","metadata_projection":"","metadata_lat":"","metadata_lon":"","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8860/datastream/OBJ/macrepo%3A8860.tiff"}}}	8860
