"pid","label","parent","id"
info:fedora/macrepo:10054,Kaloca,info:fedora/macrepo:9916,macrepo:10054
info:fedora/macrepo:10055,Keckemet,info:fedora/macrepo:9916,macrepo:10055
info:fedora/macrepo:10056,Congrad,info:fedora/macrepo:9916,macrepo:10056
info:fedora/macrepo:10057,Sarva,info:fedora/macrepo:9916,macrepo:10057
info:fedora/macrepo:10058,Bled,info:fedora/macrepo:9916,macrepo:10058
info:fedora/macrepo:10059,Ljubljana,info:fedora/macrepo:9916,macrepo:10059
info:fedora/macrepo:10060,Celje,info:fedora/macrepo:9916,macrepo:10060
info:fedora/macrepo:10061,Rogatec,info:fedora/macrepo:9916,macrepo:10061
info:fedora/macrepo:10062,Ptuj,info:fedora/macrepo:9916,macrepo:10062
info:fedora/macrepo:10063,Cakovec,info:fedora/macrepo:9916,macrepo:10063
info:fedora/macrepo:10064,Ðurdevac,info:fedora/macrepo:9916,macrepo:10064
info:fedora/macrepo:10065,Kapovar,info:fedora/macrepo:9916,macrepo:10065
info:fedora/macrepo:10066,Pecuj,info:fedora/macrepo:9916,macrepo:10066
info:fedora/macrepo:10067,Seksard,info:fedora/macrepo:9916,macrepo:10067
info:fedora/macrepo:10068,Baja,info:fedora/macrepo:9916,macrepo:10068
info:fedora/macrepo:10069,Subotica,info:fedora/macrepo:9916,macrepo:10069
info:fedora/macrepo:10070,Kanjia,info:fedora/macrepo:9916,macrepo:10070
info:fedora/macrepo:10071,Mako,info:fedora/macrepo:9916,macrepo:10071
info:fedora/macrepo:10072,Ribnica,info:fedora/macrepo:9916,macrepo:10072
info:fedora/macrepo:10073,Novo Mesto,info:fedora/macrepo:9916,macrepo:10073
info:fedora/macrepo:10074,Samobor,info:fedora/macrepo:9916,macrepo:10074
info:fedora/macrepo:10075,Zagreb,info:fedora/macrepo:9916,macrepo:10075
info:fedora/macrepo:10076,Cazma,info:fedora/macrepo:9916,macrepo:10076
info:fedora/macrepo:10077,Bjelovar,info:fedora/macrepo:9916,macrepo:10077
info:fedora/macrepo:10078,Slatina,info:fedora/macrepo:9916,macrepo:10078
info:fedora/macrepo:10079,D. Miholjac,info:fedora/macrepo:9916,macrepo:10079
info:fedora/macrepo:10081,Osijek,info:fedora/macrepo:9916,macrepo:10081
info:fedora/macrepo:10082,Sombor,info:fedora/macrepo:9916,macrepo:10082
info:fedora/macrepo:10083,Novi Vrbas,info:fedora/macrepo:9916,macrepo:10083
info:fedora/macrepo:10085,Senta,info:fedora/macrepo:9916,macrepo:10085
info:fedora/macrepo:10092,V. Kikinda,info:fedora/macrepo:9916,macrepo:10092
info:fedora/macrepo:10093,Suak,info:fedora/macrepo:9916,macrepo:10093
info:fedora/macrepo:10094,Ogulin,info:fedora/macrepo:9916,macrepo:10094
info:fedora/macrepo:10095,Karlovac,info:fedora/macrepo:9916,macrepo:10095
info:fedora/macrepo:10096,Petrinja,info:fedora/macrepo:9916,macrepo:10096
info:fedora/macrepo:10097,Kostajnica,info:fedora/macrepo:9916,macrepo:10097
info:fedora/macrepo:10098,Pakrac,info:fedora/macrepo:9916,macrepo:10098
info:fedora/macrepo:10099,Slav. Poega,info:fedora/macrepo:9916,macrepo:10099
info:fedora/macrepo:10100,Brod,info:fedora/macrepo:9916,macrepo:10100
info:fedora/macrepo:10101,Vinkovci,info:fedora/macrepo:9916,macrepo:10101
info:fedora/macrepo:10102,Vukovar,info:fedora/macrepo:9916,macrepo:10102
info:fedora/macrepo:10103,Backa Palanka,info:fedora/macrepo:9916,macrepo:10103
info:fedora/macrepo:10103,Backa Palanka,info:fedora/macrepo:9916,ww2_Yugoslavia_100k_051
info:fedora/macrepo:10104,Sremski Karlovci,info:fedora/macrepo:9916,macrepo:10104
info:fedora/macrepo:10105,Vrac,info:fedora/macrepo:9916,macrepo:10105
info:fedora/macrepo:10107,Petrovgrad,info:fedora/macrepo:9916,macrepo:10107
info:fedora/macrepo:10108,Sredite,info:fedora/macrepo:9916,macrepo:10108
info:fedora/macrepo:10109,Rab,info:fedora/macrepo:9916,macrepo:10109
info:fedora/macrepo:10110,Senj,info:fedora/macrepo:9916,macrepo:10110
info:fedora/macrepo:10111,Gospic,info:fedora/macrepo:9916,macrepo:10111
info:fedora/macrepo:10112,Bihac,info:fedora/macrepo:9916,macrepo:10112
info:fedora/macrepo:10113,Prijedor,info:fedora/macrepo:9916,macrepo:10113
info:fedora/macrepo:10114,Banja Luka,info:fedora/macrepo:9916,macrepo:10114
info:fedora/macrepo:10115,Prnjavor,info:fedora/macrepo:9916,macrepo:10115
info:fedora/macrepo:10116,Derventa,info:fedora/macrepo:9916,macrepo:10116
info:fedora/macrepo:10117,Tuzla,info:fedora/macrepo:9916,macrepo:10117
info:fedora/macrepo:10118,Bijeljina,info:fedora/macrepo:9916,macrepo:10118
info:fedora/macrepo:10119,abac,info:fedora/macrepo:9916,macrepo:10119
info:fedora/macrepo:10120,Obrenovac,info:fedora/macrepo:9916,macrepo:10120
info:fedora/macrepo:10121,Beograd,info:fedora/macrepo:9916,macrepo:10121
info:fedora/macrepo:10122,Poarevac,info:fedora/macrepo:9916,macrepo:10122
info:fedora/macrepo:10123,V. Gradite,info:fedora/macrepo:9916,macrepo:10123
info:fedora/macrepo:10124,Dobra,info:fedora/macrepo:9916,macrepo:10124
info:fedora/macrepo:10125,Kladovo,info:fedora/macrepo:9916,macrepo:10125
info:fedora/macrepo:10125,Kladovo,info:fedora/macrepo:9916,
info:fedora/macrepo:10126,Zadar,info:fedora/macrepo:9916,macrepo:10126
info:fedora/macrepo:10127,Novi Grad,info:fedora/macrepo:9916,macrepo:10127
info:fedora/macrepo:10128,Knin,info:fedora/macrepo:9916,macrepo:10128
info:fedora/macrepo:10129,Drvar,info:fedora/macrepo:9916,macrepo:10129
info:fedora/macrepo:10130,Jajce,info:fedora/macrepo:9916,macrepo:10130
info:fedora/macrepo:10130,Jajce,info:fedora/macrepo:9916,
info:fedora/macrepo:10131,Travnik,info:fedora/macrepo:9916,macrepo:10131
info:fedora/macrepo:10132,Zenica,info:fedora/macrepo:9916,macrepo:10132
