"title"	"description"	"source_uri"	"unique_id"	"date_depicted"	"map_type"	"issue_year"	"tag_list"	"subject_area"	"publisher"	"publication_place"	"authors"	"scale"	"metadata_projection"	"metadata_lat"	"metadata_lon"	"upload_url"	import string	macrepo number
title	general_note	[DO NOT EDIT] DA url - created from macrepo automatically	identifier	year part of date_in	one of "is_map", "index", "not_map"	year part of date_in	minimum of ("aerial photo"; "topo map") add additional tag (with comma) that relates to series	subj_topic	publisher_name	publisher_location	personal_name or corporate_name	scale	string	latitude	longitude	DO NOT EDIT - URL to TIFF generated from macrepo number automatically. 	DO NOT EDIT - generated automatically from other fields	Generated automatically from Lookup (DO NOT EDIT) tab based on Identifier
[Town of Caledonia, 1965] : [A19341-Photo 84]	Stereoscopic coverage. Shows Town of Caledonia. Source: National Air Photo Library [Caledonia].	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A79828	AirPhotos_Caledonia_1965_A19341-84	1965	is_map	1965	aerial photo,AirPhotos_Caledonia_1965		[Publisher unknown]	[Place of publication unknown]	National Air Photo Library (Canada)	[1:17,000 approximately]		43.073904	-79.971714	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A79828/datastream/OBJ/macrepo%3A79828.tiff	{"data":{"type":"maps","attributes":{"title":"[Town of Caledonia, 1965] : [A19341-Photo 84]","description":"Stereoscopic coverage. Shows Town of Caledonia. Source: National Air Photo Library [Caledonia].","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A79828","unique_id":"AirPhotos_Caledonia_1965_A19341-84","date_depicted":"1965","map_type":"is_map","issue_year":"1965","tag_list":"aerial photo,AirPhotos_Caledonia_1965","subject_area":"","publisher":"[Publisher unknown]","publication_place":"[Place of publication unknown]","authors":"National Air Photo Library (Canada)","scale":"[1:17,000 approximately]","metadata_projection":"","metadata_lat":"43.073904","metadata_lon":"-79.971714","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A79828/datastream/OBJ/macrepo%3A79828.tiff"}}}	79828
[Town of Caledonia, 1965] : [A19341-Photo 85]	Stereoscopic coverage. Shows Town of Caledonia. Source: National Air Photo Library [Caledonia].	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A79829	AirPhotos_Caledonia_1965_A19341-85	1965	is_map	1965	aerial photo,AirPhotos_Caledonia_1965		[Publisher unknown]	[Place of publication unknown]	National Air Photo Library (Canada)	[1:17,000 approximately]		43.074405	-79.953775	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A79829/datastream/OBJ/macrepo%3A79829.tiff	{"data":{"type":"maps","attributes":{"title":"[Town of Caledonia, 1965] : [A19341-Photo 85]","description":"Stereoscopic coverage. Shows Town of Caledonia. Source: National Air Photo Library [Caledonia].","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A79829","unique_id":"AirPhotos_Caledonia_1965_A19341-85","date_depicted":"1965","map_type":"is_map","issue_year":"1965","tag_list":"aerial photo,AirPhotos_Caledonia_1965","subject_area":"","publisher":"[Publisher unknown]","publication_place":"[Place of publication unknown]","authors":"National Air Photo Library (Canada)","scale":"[1:17,000 approximately]","metadata_projection":"","metadata_lat":"43.074405","metadata_lon":"-79.953775","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A79829/datastream/OBJ/macrepo%3A79829.tiff"}}}	79829
[Town of Caledonia, 1965] : [A19341-Photo 86]	Stereoscopic coverage. Shows Town of Caledonia. Source: National Air Photo Library [Caledonia].	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A79826	AirPhotos_Caledonia_1965_A19341-86	1965	is_map	1965	aerial photo,AirPhotos_Caledonia_1965		[Publisher unknown]	[Place of publication unknown]	National Air Photo Library (Canada)	[1:17,000 approximately]		43.074907	-79.935751	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A79826/datastream/OBJ/macrepo%3A79826.tiff	{"data":{"type":"maps","attributes":{"title":"[Town of Caledonia, 1965] : [A19341-Photo 86]","description":"Stereoscopic coverage. Shows Town of Caledonia. Source: National Air Photo Library [Caledonia].","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A79826","unique_id":"AirPhotos_Caledonia_1965_A19341-86","date_depicted":"1965","map_type":"is_map","issue_year":"1965","tag_list":"aerial photo,AirPhotos_Caledonia_1965","subject_area":"","publisher":"[Publisher unknown]","publication_place":"[Place of publication unknown]","authors":"National Air Photo Library (Canada)","scale":"[1:17,000 approximately]","metadata_projection":"","metadata_lat":"43.074907","metadata_lon":"-79.935751","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A79826/datastream/OBJ/macrepo%3A79826.tiff"}}}	79826
[Town of Caledonia, 1965] : [A19341-Photo 87]	Stereoscopic coverage. Shows Town of Caledonia. Source: National Air Photo Library [Caledonia].	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A79827	AirPhotos_Caledonia_1965_A19341-87	1965	is_map	1965	aerial photo,AirPhotos_Caledonia_1965		[Publisher unknown]	[Place of publication unknown]	National Air Photo Library (Canada)	[1:17,000 approximately]		43.075471	-79.917212	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A79827/datastream/OBJ/macrepo%3A79827.tiff	{"data":{"type":"maps","attributes":{"title":"[Town of Caledonia, 1965] : [A19341-Photo 87]","description":"Stereoscopic coverage. Shows Town of Caledonia. Source: National Air Photo Library [Caledonia].","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A79827","unique_id":"AirPhotos_Caledonia_1965_A19341-87","date_depicted":"1965","map_type":"is_map","issue_year":"1965","tag_list":"aerial photo,AirPhotos_Caledonia_1965","subject_area":"","publisher":"[Publisher unknown]","publication_place":"[Place of publication unknown]","authors":"National Air Photo Library (Canada)","scale":"[1:17,000 approximately]","metadata_projection":"","metadata_lat":"43.075471","metadata_lon":"-79.917212","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A79827/datastream/OBJ/macrepo%3A79827.tiff"}}}	79827
